"SampleID","cluster"
"13450","Lactobacillus_iners"
"13464","Lactobacillus_iners"
"13468","Lactobacillus_jensenii/fornicalis/psittaci"
"13475","Gardnerella_vaginalis"
"13500","Lachnospiraceae_BVAB1"
"13504","Lactobacillus_crispatus_cluster"
"13511","Lactobacillus_jensenii/fornicalis/psittaci"
"13513","Lactobacillus_crispatus_cluster"
"13514","Lactobacillus_crispatus_cluster"
"13542","Lachnospiraceae_BVAB1"
"13548","Gardnerella_vaginalis"
"13567","Bifidobacterium_breve_cluster"
"13579","Lactobacillus_iners"
"13584","Lactobacillus_iners"
"13590","Lactobacillus_crispatus_cluster"
"13596","Lactobacillus_crispatus_cluster"
"13597","Lachnospiraceae_BVAB1"
"13601","Lactobacillus_iners"
"13604","Lactobacillus_crispatus_cluster"
"13606","Lactobacillus_crispatus_cluster"
"13608","Lactobacillus_jensenii/fornicalis/psittaci"
"13622","Lactobacillus_crispatus_cluster"
"13623","Lactobacillus_crispatus_cluster"
"13651","Atopobium_vaginae"
"13660","Lactobacillus_crispatus_cluster"
"13662","Lactobacillus_crispatus_cluster"
"13669","Lactobacillus_gasseri_cluster"
"13672","Lactobacillus_iners"
"13676","Fusobacterium_cluster48"
"13680","Lactobacillus_gasseri_cluster"
"13697","Atopobium_vaginae"
"13709","Lactobacillus_crispatus_cluster"
"13725","Lactobacillus_crispatus_cluster"
"13740","Lactobacillus_crispatus_cluster"
"13751","Lactobacillus_iners"
"13761","Lactobacillus_crispatus_cluster"
"13773","Gardnerella_vaginalis"
"13790","Lactobacillus_iners"
"13805","Lactobacillus_iners"
"13810","Lactobacillus_crispatus_cluster"
"13824","Lactobacillus_crispatus_cluster"
"13827","Lactobacillus_jensenii/fornicalis/psittaci"
"13832","Lactobacillus_iners"
"13835","Lactobacillus_iners"
"13839","Gardnerella_vaginalis"
"13847","Lactobacillus_gasseri_cluster"
"13853","Lactobacillus_iners"
"13915","Lactobacillus_delbrueckii"
"13933","Lactobacillus_iners"
"13943","Lactobacillus_iners"
"13947","Lactobacillus_crispatus_cluster"
"13953","Lactobacillus_iners"
"13971","Lactobacillus_crispatus_cluster"
"13972","Lactobacillus_crispatus_cluster"
"13973","Lactobacillus_crispatus_cluster"
"13983","Lactobacillus_crispatus_cluster"
"14008","Gardnerella_vaginalis"
"14011","Lactobacillus_gasseri_cluster"
"14014","Lactobacillus_gasseri_cluster"
"14021","Lachnospiraceae_BVAB1"
"14024","Lactobacillus_iners"
"14052","Lactobacillus_iners"
"14062","Lactobacillus_iners"
"14084","Lactobacillus_iners"
"14095","Bifidobacterium_breve_cluster"
"14104","Lactobacillus_gasseri_cluster"
"14112","Lactobacillus_iners"
"14116","Lactobacillus_crispatus_cluster"
"14120","Lactobacillus_jensenii/fornicalis/psittaci"
"14128","Lactobacillus_iners"
"14131","Lactobacillus_iners"
"14132","Lactobacillus_crispatus_cluster"
"14137","Lactobacillus_gasseri_cluster"
"14154","Lactobacillus_iners"
"14160","Lactobacillus_iners"
"14167","Lactobacillus_iners"
"14179","Lactobacillus_iners"
"14190","Lactobacillus_crispatus_cluster"
"14193","Lactobacillus_iners"
"14203","Lactobacillus_crispatus_cluster"
"14204","Lactobacillus_iners"
"14221","Lactobacillus_iners"
"14235","Lactobacillus_gasseri_cluster"
"14253","Lactobacillus_crispatus_cluster"
"14264","Lactobacillus_crispatus_cluster"
"14274","Lactobacillus_iners"
"14276","Gardnerella_vaginalis"
"14277","Lachnospiraceae_BVAB1"
"14289","notype"
"14295","Lactobacillus_crispatus_cluster"
"14314","notype"
"14330","Lactobacillus_gasseri_cluster"
"14339","Lactobacillus_gasseri_cluster"
"14342","Lactobacillus_iners"
"14343","Lactobacillus_crispatus_cluster"
"14345","Lactobacillus_iners"
"14356","Lactobacillus_crispatus_cluster"
"14367","Lactobacillus_iners"
"14430","Lactobacillus_crispatus_cluster"
"14452","Lactobacillus_iners"
"14461","Lactobacillus_gasseri_cluster"
"14463","Lachnospiraceae_BVAB1"
"14468","Lactobacillus_iners"
"14484","Lactobacillus_delbrueckii"
"14491","Lactobacillus_iners"
"14499","Lactobacillus_iners"
"14504","Lactobacillus_crispatus_cluster"
"14506","Lactobacillus_gasseri_cluster"
"14511","Lactobacillus_crispatus_cluster"
"14516","Lactobacillus_jensenii/fornicalis/psittaci"
"14517","Lactobacillus_iners"
"14533","Gardnerella_vaginalis"
"14534","Lactobacillus_crispatus_cluster"
"14537","Lactobacillus_iners"
"14558","Atopobium_vaginae"
"14581","Lactobacillus_crispatus_cluster"
"14590","Lactobacillus_iners"
"14615","Lactobacillus_iners"
"14630","Lactobacillus_iners"
"14651","Lactobacillus_crispatus_cluster"
"14654","notype"
"14656","Gardnerella_vaginalis"
"14660","Lactobacillus_crispatus_cluster"
"14673","Lachnospiraceae_BVAB1"
"14676","Lactobacillus_crispatus_cluster"
"14683","Lactobacillus_crispatus_cluster"
"14694","Lactobacillus_jensenii/fornicalis/psittaci"
"14727","Lactobacillus_iners"
"14736","Lactobacillus_iners"
"14745","Lactobacillus_crispatus_cluster"
"14755","Lactobacillus_iners"
"14763","Lactobacillus_iners"
"14780","Lactobacillus_gasseri_cluster"
"14781","Lachnospiraceae_BVAB1"
"14792","Lactobacillus_crispatus_cluster"
"14797","Lactobacillus_gasseri_cluster"
"14824","Lactobacillus_jensenii/fornicalis/psittaci"
"14827","Lactobacillus_iners"
"14831","Lactobacillus_jensenii/fornicalis/psittaci"
"14874","Lactobacillus_iners"
"14894","Lactobacillus_jensenii/fornicalis/psittaci"
"14912","Lactobacillus_crispatus_cluster"
"14920","Lactobacillus_iners"
"14924","Lactobacillus_iners"
"14948","Lactobacillus_iners"
"14954","Lactobacillus_crispatus_cluster"
"14983","Lactobacillus_iners"
"14984","Lactobacillus_crispatus_cluster"
"15043","Lactobacillus_iners"
"15049","Lactobacillus_iners"
"15097","Lactobacillus_crispatus_cluster"
"15102","Lactobacillus_iners"
"15105","Lactobacillus_crispatus_cluster"
"15125","Lactobacillus_crispatus_cluster"
"15129","Lactobacillus_jensenii/fornicalis/psittaci"
"15141","Lactobacillus_crispatus_cluster"
"15152","Lactobacillus_jensenii/fornicalis/psittaci"
"15160","Lactobacillus_iners"
"15161","Lactobacillus_crispatus_cluster"
"15164","Lactobacillus_iners"
"15198","Lactobacillus_iners"
"15218","Lactobacillus_jensenii/fornicalis/psittaci"
"15221","Lactobacillus_crispatus_cluster"
"15224","Lactobacillus_iners"
"15275","Atopobium_vaginae"
"15278","Lactobacillus_iners"
"15342","Lactobacillus_gasseri_cluster"
"15351","Lactobacillus_iners"
"15357","Lachnospiraceae_BVAB1"
"15365","Atopobium_vaginae"
"15374","Gardnerella_vaginalis"
"15417","Lactobacillus_iners"
"15422","Lactobacillus_iners"
"15434","Lactobacillus_jensenii/fornicalis/psittaci"
"15456","Lactobacillus_crispatus_cluster"
"15510","notype"
"15515","Lactobacillus_iners"
"15560","Lactobacillus_gasseri_cluster"
"15628","Megasphaera_OTU70_type1"
"15660","Lactobacillus_iners"
"20147","Lactobacillus_iners"
"20158","Lactobacillus_iners"
"20166","Lactobacillus_jensenii/fornicalis/psittaci"
"20339","Lactobacillus_crispatus_cluster"
"20389","Lactobacillus_gasseri_cluster"
"20401","Lactobacillus_crispatus_cluster"
"20408","Lactobacillus_iners"
"20438","Lactobacillus_iners"
"20505","Lactobacillus_iners"
"20511","Lactobacillus_iners"
"20524","Atopobium_vaginae"
"20553","Lactobacillus_iners"
"20563","notype"
"20631","Lactobacillus_iners"
